system_word,player_word,outcome
Anti-Virus Nanocloud,Nanobot Swarm,0
Glacier,Mutation,0
Planetary Defense Shield,Reforestation,0
AI Kill Switch,Singularity Stabilizer,1
Neutralizing Agent,Therapy,1
Avalanche,Neutralizing Agent,1
Sonic Boom,Avalanche,1
Lava,War,0
Antimatter Cannon,Viral Meme,0
Resilience,Persistence,0
Mutation,Planetary Defense Shield,0
Kevlar Vest,Robot,1
Confidence,Reforestation,1
Viral Meme,Singularity Stabilizer,0
Hurricane,Dynamite,0
Molotov Cocktail,Sunshine,0
Freeze,Neutralizing Agent,0
Hurricane,Evacuation,0
Dynamite,Rainstorm,0
Robot,Jackhammer,1
Gust,Confidence,0
Persistence,Glacier,0
Singularity Stabilizer,Bear Trap,0
Rainstorm,Viral Meme,0
Kevlar Vest,Reinforced Steel Door,1
Fire Extinguisher,Hurricane,0
Reforestation,Drought,0
Evacuation,Anti-Virus Nanocloud,1
Bear Trap,Reforestation,0
Innovation,Bear Trap,1
Vacation,Encryption,0
Love,Flood,0
Fire,Anti-Virus Nanocloud,0
Orbital Laser,Dynamite,0
Planetary Evacuation Fleet,Terraforming Device,0
War,Nanobot Swarm,0
Flood,Earthquake,0
Resilience,Time,1
Sunshine,Grizzly,0
Vacation,Molotov Cocktail,1
Tsunami,Time,1
Oil,Sunshine,0
Vacuum,Disease,1
Oil,Fire Extinguisher,0
Boulder,Tsunami,0
Laser,Freeze,0
Steam,Solar Deflection Array,1
Water,Hurricane,0
Disease,Satellite,0
Reforestation,Vacuum,1
Boulder,Hurricane,1
Lightning,Dam,0
Flood,Rainstorm,0
Encryption,Hydraulic Jack,0
Therapy,Vacation,0
Satellite,Absorption,0
Cataclysm Containment Field,Reforestation,0
Satellite,Confidence,1
Reforestation,Flood,0
Resilience,Disease,0
Bulldozer,Propaganda,0
Disease,Fire Blanket,0
Boulder,Bulldozer,1
Seismic Dampener,Evacuation,1
Freeze,Super Glue,0
Avalanche,Steam,0
Oil,Laser,1
Persistence,Orbital Laser,1
Planetary Evacuation Fleet,Acid,1
Cataclysm Containment Field,Singularity Stabilizer,1
Hydraulic Jack,Solar Deflection Array,1
Innovation,Diamond Cage,0
Innovation,Avalanche,0
Singularity Stabilizer,Reinforced Steel Door,0
Flood,Singularity Stabilizer,0
Acid,Jackhammer,0
Jackhammer,Acid,1
Confidence,Diamond Cage,0
Lightning,Fire Blanket,1
Hurricane,Reality Resynchronizer,1
Reforestation,Acid,0
Reality Resynchronizer,Bear Trap,0
Oil,Seismic Dampener,1
Hydraulic Jack,Avalanche,0
AI Kill Switch,Singularity Stabilizer,0
Jackhammer,Flood,0
Tsunami,Terraforming Device,1
Avalanche,Water,1
Anti-Virus Nanocloud,Bulldozer,1
Life Raft,Vacation,1
Planetary Evacuation Fleet,Drought,0
Laser,Innovation,0
Reinforced Steel Door,Gust,0
Dynamite,Bear Trap,1
Confidence,Fire,0
Encryption,Reforestation,0
Life Raft,Vacuum,0
Rainstorm,Robot,1
Dragon,Nanobot Swarm,1
AI Kill Switch,Antimatter Cannon,0
Bulldozer,Boulder,0
Dam,Steam,0
Absorption,Therapy,0
Dragon,Viral Meme,0
Absorption,Explosion,0
Persistence,Antimatter Cannon,0
Diamond Cage,Glacier,0
Earthquake,Gust,0
Reforestation,Fire,0
Grizzly,Encryption,0
Bulldozer,Disease,0
Hydraulic Jack,Solar Deflection Array,0
Molotov Cocktail,Nanobot Swarm,0
Reinforced Steel Door,Steam,0
Signal Jammer,Robot,1
Avalanche,H-bomb,0
Singularity Stabilizer,Seismic Dampener,0
Robot,Life Raft,0
Rainstorm,Grizzly,0
Life Raft,Therapy,1
Orbital Laser,Steam,1
AI Kill Switch,Planetary Defense Shield,1
Dam,Sunshine,0
Orbital Laser,Water,0
H-bomb,Innovation,1
Explosion,Acid,1
Vacuum,Boulder,0
Anti-Virus Nanocloud,Oil,1
Mutation,Dragon,0
Earthquake,Persistence,1
Life Raft,Propaganda,0
Water,AI Kill Switch,0
Lightning,Absorption,1
Hydraulic Jack,Kevlar Vest,0
Molotov Cocktail,Innovation,0
Sandpaper,Molotov Cocktail,0
Orbital Laser,Water,1
Proof,Bear Trap,0
Dynamite,Evacuation,0
Viral Meme,Gust,1
Jackhammer,Gust,1
Confidence,Hydraulic Jack,1
Confidence,AI Kill Switch,0
Rainstorm,Disease,0
Confidence,Tsunami,0
Dynamite,Acid,0
Bulldozer,Jackhammer,1
Sandpaper,Reality Resynchronizer,0
Hurricane,Therapy,0
Flood,Tsunami,0
Acid,Terraforming Device,1
Glacier,Neutralizing Agent,0
Drill,Absorption,0
Lightning,Vacation,0
H-bomb,Seismic Dampener,1
Therapy,Hurricane,0
Persistence,Sandpaper,1
Reforestation,Grizzly,0
Boulder,Fire Extinguisher,1
Reforestation,Love,1
Singularity Stabilizer,Absorption,0
Laser,Super Glue,0
Singularity Stabilizer,Resilience,0
AI Kill Switch,AI Kill Switch,0
Confidence,Signal Jammer,1
Mutation,Planetary Defense Shield,1
Rainstorm,Mutation,0
Life Raft,Tsunami,0
Glacier,Flood,0
Neutralizing Agent,Robot,0
Dragon,Evacuation,1
Freeze,Cataclysm Containment Field,0
Avalanche,Freeze,0
Lava,Bulldozer,0
Explosion,Encryption,0
Glacier,Earthquake,1
Evacuation,Encryption,1
Fire Extinguisher,Kevlar Vest,0
Satellite,Molotov Cocktail,0
Steam,Neutralizing Agent,1
Rainstorm,Planetary Defense Shield,1
Lava,Fire Blanket,1
Proof,Lightning,0
Terraforming Device,Nanobot Swarm,0
Avalanche,Earthquake,0
Persistence,Confidence,0
Robot,Orbital Laser,0
Evacuation,Mutation,0
Tsunami,Proof,0
Terraforming Device,Drill,1
AI Kill Switch,Drought,1
Antimatter Cannon,Freeze,1
Diamond Cage,Super Glue,1
Drill,Absorption,0
Oil,Persistence,0
Flood,Boulder,0
Robot,Super Glue,1
Lava,Persistence,1
Drill,Viral Meme,0
Vacuum,Proof,0
Signal Jammer,Laser,0
Cataclysm Containment Field,Glacier,0
Absorption,Earthquake,0
Boulder,Robot,0
Lava,Lightning,0
Encryption,Signal Jammer,1
Robot,Kevlar Vest,0
Nanobot Swarm,Cataclysm Containment Field,0
Earthquake,War,1
Disease,Dam,1
Dragon,Glacier,0
Love,Diamond Cage,0
Vacuum,Diamond Cage,1
Anti-Virus Nanocloud,Diamond Cage,1
Evacuation,Bear Trap,1
Disease,Reinforced Steel Door,0
Solar Deflection Array,Dragon,1
Fire,Love,1
Avalanche,Proof,1
Jackhammer,Cataclysm Containment Field,1
Lightning,Encryption,1
Singularity Stabilizer,Love,0
Nanobot Swarm,Water,1
Drill,Reality Resynchronizer,1
Earthquake,Sandpaper,0
Orbital Laser,Grizzly,0
Molotov Cocktail,Vacation,0
Satellite,Avalanche,0
Proof,Sunshine,0
Fire Blanket,Neutralizing Agent,1
Dynamite,Time,0
Planetary Defense Shield,Singularity Stabilizer,1
Neutralizing Agent,Robot,0
Proof,Sunshine,0
Innovation,Glacier,1
Earthquake,Absorption,1
Solar Deflection Array,Viral Meme,1
Therapy,Encryption,0
Resilience,Dynamite,0
Persistence,Sonic Boom,1
Seismic Dampener,Super Glue,0
Resilience,Kevlar Vest,0
Tsunami,Super Glue,0
Rainstorm,War,1
Grizzly,Sunshine,0
Diamond Cage,AI Kill Switch,1
Oil,Propaganda,0
Reinforced Steel Door,Kevlar Vest,0
Vacation,Sonic Boom,1
War,Planetary Evacuation Fleet,0
Molotov Cocktail,Nanobot Swarm,0
Proof,Propaganda,1
Reforestation,Therapy,1
Viral Meme,Nanobot Swarm,0
Therapy,Viral Meme,1
Bulldozer,Dam,0
Bulldozer,Diamond Cage,1
Dam,H-bomb,0
Solar Deflection Array,H-bomb,0
Vacation,Bear Trap,0
Boulder,Innovation,0
Planetary Evacuation Fleet,Water,0
Dam,Dam,0
Gust,War,0
Propaganda,Flood,0
Oil,Satellite,0
Fire,Glacier,0
Oil,Fire,1
Vacuum,Confidence,0
Confidence,Acid,0
Planetary Defense Shield,Solar Deflection Array,0
Persistence,Fire,0
Sunshine,Time,0
Sunshine,Confidence,0
Mutation,Freeze,0
Boulder,Earthquake,0
Tsunami,Grizzly,1
Viral Meme,Antimatter Cannon,0
Evacuation,Dynamite,0
Lightning,Life Raft,0
War,AI Kill Switch,1
Planetary Evacuation Fleet,Neutralizing Agent,0
Singularity Stabilizer,Anti-Virus Nanocloud,1
Oil,Mutation,1
Sonic Boom,Hurricane,0
Freeze,Bear Trap,0
AI Kill Switch,Super Glue,0
Water,Avalanche,0
Propaganda,Signal Jammer,1
Robot,Hydraulic Jack,0
Dam,Propaganda,0
Glacier,Fire Extinguisher,0
H-bomb,Seismic Dampener,1
Antimatter Cannon,Terraforming Device,1
Laser,Reality Resynchronizer,1
Molotov Cocktail,Orbital Laser,0
Lava,Flood,1
Planetary Evacuation Fleet,Viral Meme,0
Satellite,Robot,1
Reforestation,Sonic Boom,1
Diamond Cage,Laser,0
Robot,Planetary Defense Shield,1
Vacuum,Evacuation,0
Explosion,Persistence,1
Proof,Lava,0
H-bomb,Vacuum,1
Cataclysm Containment Field,Time,0
Evacuation,Cataclysm Containment Field,0
Dragon,Nanobot Swarm,0
War,Sandpaper,0
Persistence,Sandpaper,1
Therapy,Planetary Defense Shield,1
Reforestation,Robot,1
Lightning,Anti-Virus Nanocloud,0
Robot,Explosion,1
Flood,Grizzly,0
Diamond Cage,Time,1
Singularity Stabilizer,Persistence,1
Antimatter Cannon,Absorption,1
Dragon,Planetary Evacuation Fleet,0
Acid,Lava,1
Fire Extinguisher,Mutation,0
Proof,Terraforming Device,0
Solar Deflection Array,Reforestation,1
Anti-Virus Nanocloud,Antimatter Cannon,0
Grizzly,Time,1
Therapy,Encryption,1
Freeze,Kevlar Vest,0
Disease,Nanobot Swarm,1
War,Reforestation,0
Resilience,Cataclysm Containment Field,1
Rainstorm,Anti-Virus Nanocloud,0
Fire,Lightning,1
Satellite,Confidence,0
Earthquake,Water,0
Therapy,Reinforced Steel Door,1
Satellite,Explosion,0
Bear Trap,Freeze,0
Confidence,Bulldozer,1
Lightning,Terraforming Device,1
Satellite,Diamond Cage,0
Vacuum,Cataclysm Containment Field,0
Avalanche,Planetary Evacuation Fleet,1
Signal Jammer,Bulldozer,0
Sandpaper,Boulder,1
Sandpaper,Rainstorm,0
Signal Jammer,Sunshine,0
Signal Jammer,Water,1
Earthquake,Hurricane,0
Gust,Lava,1
Cataclysm Containment Field,Bulldozer,0
Jackhammer,Absorption,0
Super Glue,Explosion,1
Water,Gust,1
Lava,War,1
Satellite,Mutation,0
Reinforced Steel Door,Terraforming Device,0
Hydraulic Jack,Drill,1
Antimatter Cannon,Hydraulic Jack,0
Evacuation,Solar Deflection Array,0
Vacation,Flood,0
Water,Disease,1
H-bomb,Jackhammer,1
Mutation,Terraforming Device,0
Anti-Virus Nanocloud,Super Glue,1
War,Planetary Defense Shield,0
Hydraulic Jack,Absorption,0
Freeze,Sonic Boom,0
Freeze,Rainstorm,0
Neutralizing Agent,Diamond Cage,0
Grizzly,Grizzly,0
Earthquake,Innovation,1
Sandpaper,Flood,1
Bulldozer,Encryption,1
Avalanche,Acid,1
Robot,Boulder,0
Terraforming Device,Bulldozer,0
Hydraulic Jack,Confidence,0
Reforestation,Seismic Dampener,0
Innovation,Water,0
Acid,Steam,0
Diamond Cage,Steam,0
Time,Drill,0
Robot,Sandpaper,0
Bear Trap,Dam,0
Signal Jammer,Love,1
Molotov Cocktail,Sonic Boom,0
Lightning,Drought,1
Reinforced Steel Door,Love,0
Earthquake,Vacuum,0
Persistence,Signal Jammer,0
Diamond Cage,Love,1
Fire Blanket,Therapy,0
Explosion,Bear Trap,1
Hydraulic Jack,Jackhammer,1
Proof,Earthquake,0
Planetary Defense Shield,Lava,1
Drought,Terraforming Device,0
Cataclysm Containment Field,Orbital Laser,0
Orbital Laser,Signal Jammer,0
Drought,Sunshine,1
Fire Extinguisher,Drill,0
Absorption,Kevlar Vest,0
Hurricane,Laser,0
Sandpaper,Seismic Dampener,1
Dam,Vacuum,0
Disease,Diamond Cage,0
Fire,Signal Jammer,0
Fire Extinguisher,Orbital Laser,0
Boulder,Lightning,1
Lightning,Encryption,0
Fire,Lava,0
Seismic Dampener,Antimatter Cannon,1
Vacation,Fire,0
Jackhammer,Antimatter Cannon,0
Grizzly,Explosion,0
Encryption,Resilience,0
Planetary Evacuation Fleet,Grizzly,0
War,Vacation,0
Sonic Boom,Grizzly,0
Planetary Defense Shield,H-bomb,1
Confidence,Resilience,0
Vacation,Fire Blanket,0
Confidence,Encryption,0
Dynamite,Explosion,0
Terraforming Device,Diamond Cage,0
Encryption,Gust,1
Seismic Dampener,Neutralizing Agent,0
Reality Resynchronizer,H-bomb,0
Life Raft,Vacation,1
Time,Time,0
Super Glue,Bulldozer,1
Earthquake,Innovation,1
Freeze,Drought,0
Grizzly,Reality Resynchronizer,1
Orbital Laser,AI Kill Switch,0
Water,Lava,0
Drought,Lava,0
Antimatter Cannon,Propaganda,0
Acid,Innovation,0
Drill,Boulder,1
H-bomb,Glacier,0
Bulldozer,Innovation,0
Grizzly,Steam,0
Confidence,Fire Blanket,0
Signal Jammer,Time,1
Time,Flood,1
Lava,Evacuation,0
Bulldozer,Antimatter Cannon,1
Dynamite,Hydraulic Jack,0
Vacation,Gust,1
Sandpaper,Absorption,1
Terraforming Device,Rainstorm,0
Propaganda,Water,1
Reforestation,Confidence,1
Planetary Defense Shield,Rainstorm,0
Drought,Antimatter Cannon,1
Singularity Stabilizer,Confidence,0
Kevlar Vest,Dynamite,0
Molotov Cocktail,Terraforming Device,0
Reality Resynchronizer,Persistence,0
Tsunami,Time,0
War,Singularity Stabilizer,0
Flood,Glacier,0
Life Raft,AI Kill Switch,1
Lava,Life Raft,0
Flood,Acid,0
Evacuation,Sonic Boom,0
Acid,Drill,0
Solar Deflection Array,Laser,0
Signal Jammer,Vacuum,0
Diamond Cage,Sunshine,0
Antimatter Cannon,Lightning,1
Molotov Cocktail,Oil,1
Earthquake,Steam,1
Drought,Disease,1
Dynamite,Resilience,0
Drill,Lightning,0
Absorption,Explosion,0
H-bomb,Terraforming Device,1
Sunshine,Drill,0
Dam,Seismic Dampener,1
Signal Jammer,Grizzly,1
Sonic Boom,Earthquake,0
Reality Resynchronizer,Bulldozer,0
Molotov Cocktail,Time,0
Disease,Life Raft,1
Time,Tsunami,0
Boulder,Seismic Dampener,0
Absorption,Mutation,0
AI Kill Switch,Molotov Cocktail,0
Confidence,Water,0
Steam,Lava,0
Sandpaper,Encryption,0
Bulldozer,Anti-Virus Nanocloud,0
Reality Resynchronizer,Freeze,0
Jackhammer,Seismic Dampener,0
Drought,Super Glue,1
Lava,Persistence,0
Resilience,Steam,1
Orbital Laser,Dynamite,0
Flood,Innovation,0
Water,Sunshine,1
Hurricane,Innovation,0
Acid,Neutralizing Agent,0
Time,Tsunami,1
Rainstorm,Dam,0
Planetary Defense Shield,Nanobot Swarm,1
Nanobot Swarm,Antimatter Cannon,0
Steam,Steam,0
Tsunami,Resilience,0
Fire,Drill,0
Love,Boulder,1
Satellite,Jackhammer,1
Confidence,Lightning,0
Love,Boulder,1
Lava,Sandpaper,1
Oil,Time,0
Drill,Reforestation,1
Super Glue,Planetary Defense Shield,0
Nanobot Swarm,Bear Trap,0
Drill,Steam,1
Dam,Avalanche,0
Satellite,Hurricane,1
Terraforming Device,Dynamite,0
Fire Blanket,Terraforming Device,0
Time,Sandpaper,1
Neutralizing Agent,Viral Meme,0
Lava,Jackhammer,1
Nanobot Swarm,Gust,1
Grizzly,Fire,0
Glacier,Hurricane,0
War,Acid,0
Acid,Molotov Cocktail,0
Fire Extinguisher,AI Kill Switch,1
Kevlar Vest,Propaganda,1
Time,Antimatter Cannon,0
Vacation,Resilience,0
Explosion,Propaganda,1
Dragon,Oil,0
Terraforming Device,Acid,1
Sonic Boom,Viral Meme,0
Molotov Cocktail,Gust,0
Anti-Virus Nanocloud,Kevlar Vest,1
Reality Resynchronizer,Innovation,0
Resilience,Laser,1
Bulldozer,Dragon,0
Resilience,Steam,1
Bulldozer,Time,0
Bulldozer,Seismic Dampener,0
Dynamite,Reforestation,0
Molotov Cocktail,Signal Jammer,0
AI Kill Switch,Nanobot Swarm,1
War,Molotov Cocktail,1
Satellite,Proof,1
Encryption,Dynamite,0
Life Raft,Planetary Defense Shield,1
AI Kill Switch,Tsunami,0
Rainstorm,Seismic Dampener,0
Singularity Stabilizer,Cataclysm Containment Field,0
Antimatter Cannon,Jackhammer,1
Resilience,Freeze,0
Drought,Molotov Cocktail,1
H-bomb,Hurricane,1
Avalanche,Life Raft,0
Planetary Evacuation Fleet,Glacier,0
Fire,Diamond Cage,0
Singularity Stabilizer,Planetary Defense Shield,0
Anti-Virus Nanocloud,Bulldozer,1
Earthquake,Rainstorm,1
Diamond Cage,Resilience,0
Confidence,Proof,0
Singularity Stabilizer,Evacuation,1
Therapy,Grizzly,1
Anti-Virus Nanocloud,Drill,0
Planetary Defense Shield,Hurricane,0
Viral Meme,AI Kill Switch,0
Earthquake,Hurricane,0
Persistence,Fire,0
Therapy,Steam,1
Oil,Grizzly,0
Nanobot Swarm,Freeze,0
Therapy,Drill,0
Reforestation,Sonic Boom,0
Sonic Boom,Absorption,0
Explosion,Planetary Defense Shield,1
Terraforming Device,Seismic Dampener,0
Persistence,Vacuum,0
Signal Jammer,Glacier,1
Seismic Dampener,Singularity Stabilizer,0
Life Raft,Encryption,0
Freeze,Reality Resynchronizer,0
Freeze,Hurricane,1
Viral Meme,Avalanche,0
Flood,Time,0
Antimatter Cannon,Viral Meme,1
Diamond Cage,AI Kill Switch,0
Lightning,Antimatter Cannon,0
Planetary Evacuation Fleet,Dynamite,0
Love,Steam,1
Laser,Planetary Defense Shield,1
Dynamite,Anti-Virus Nanocloud,0
Encryption,H-bomb,1
Reinforced Steel Door,Innovation,0
Fire Blanket,Resilience,0
Fire Blanket,Gust,0
Signal Jammer,Sandpaper,0
Encryption,Avalanche,0
Tsunami,Earthquake,0
War,Kevlar Vest,1
Diamond Cage,Reforestation,0
Therapy,Reinforced Steel Door,0
Dragon,Reality Resynchronizer,0
Drought,Singularity Stabilizer,0
Innovation,Love,0
Nanobot Swarm,Planetary Evacuation Fleet,0
Rainstorm,Therapy,1
Resilience,Cataclysm Containment Field,0
Glacier,Fire Blanket,0
Fire Blanket,Oil,0
Sunshine,Fire,0
Planetary Evacuation Fleet,Lava,0
Molotov Cocktail,Lightning,0
Nanobot Swarm,Mutation,1
Singularity Stabilizer,Neutralizing Agent,1
Glacier,Viral Meme,0
Innovation,Satellite,0
Molotov Cocktail,Fire,0
Nanobot Swarm,Glacier,0
Mutation,Orbital Laser,0
Resilience,Innovation,0
Proof,Neutralizing Agent,0
Cataclysm Containment Field,Robot,0
Antimatter Cannon,Nanobot Swarm,0
Time,Antimatter Cannon,0
Oil,Innovation,0
Dam,Oil,0
AI Kill Switch,Satellite,1
Satellite,War,0
Molotov Cocktail,Drill,1
Anti-Virus Nanocloud,Evacuation,1
Hurricane,Resilience,0
Lava,Love,0
Disease,Solar Deflection Array,0
Evacuation,Drought,0
Reforestation,Gust,0
Hydraulic Jack,Explosion,0
Acid,Tsunami,1
Viral Meme,Glacier,0
Robot,Lightning,0
Dragon,Terraforming Device,1
Diamond Cage,Gust,1
Seismic Dampener,Planetary Evacuation Fleet,1
Fire Blanket,Bulldozer,0
Acid,Drill,1
Reality Resynchronizer,Steam,0
Diamond Cage,Neutralizing Agent,0
Laser,Anti-Virus Nanocloud,0
Molotov Cocktail,Planetary Evacuation Fleet,0
Water,Vacuum,0
Super Glue,Vacation,1
Oil,Dynamite,0
Reinforced Steel Door,Acid,1
Orbital Laser,Bear Trap,0
Dragon,Acid,1
AI Kill Switch,Grizzly,1
Kevlar Vest,Boulder,1
Encryption,Robot,0
Planetary Defense Shield,Kevlar Vest,0
Sunshine,Sunshine,0
Bear Trap,Evacuation,1
Mutation,Avalanche,0
Avalanche,Sonic Boom,0
Laser,Orbital Laser,0
Planetary Defense Shield,Planetary Evacuation Fleet,0
Acid,Avalanche,1
Glacier,Fire,1
Dragon,Drill,0
Vacuum,Resilience,0
Robot,H-bomb,0
Grizzly,Encryption,1
Singularity Stabilizer,Time,1
Evacuation,Reality Resynchronizer,0
Drill,Explosion,1
Lava,Bear Trap,1
Antimatter Cannon,Flood,0
Nanobot Swarm,Earthquake,0
Proof,Viral Meme,0
Molotov Cocktail,Proof,1
Oil,Sunshine,1
Bulldozer,Earthquake,0
Kevlar Vest,Diamond Cage,1
Seismic Dampener,Antimatter Cannon,0
Cataclysm Containment Field,Signal Jammer,0
Avalanche,Fire,0
Terraforming Device,Terraforming Device,0
Reality Resynchronizer,Disease,1
AI Kill Switch,Fire,0
Dragon,Innovation,0
Time,Flood,0
Sunshine,Mutation,1
Bear Trap,Hydraulic Jack,0
Terraforming Device,Sunshine,0
Vacuum,Molotov Cocktail,0
Explosion,Planetary Defense Shield,1
Gust,Bear Trap,1
Drought,Bulldozer,1
Fire Extinguisher,Gust,1
Lava,Proof,1
Terraforming Device,War,1
Vacuum,Rainstorm,0
Mutation,Singularity Stabilizer,0
Laser,Freeze,1
Satellite,Flood,0
Flood,Reality Resynchronizer,1
Lava,Orbital Laser,0
Singularity Stabilizer,Rainstorm,0
Laser,Time,1
Gust,Acid,0
Satellite,Antimatter Cannon,0
Time,Innovation,0
Satellite,Dynamite,1
Viral Meme,Water,1
Bulldozer,Drought,0
Kevlar Vest,War,0
Drought,Rainstorm,0
Planetary Defense Shield,Planetary Evacuation Fleet,1
Laser,Water,0
Seismic Dampener,Freeze,1
Jackhammer,Drill,0
Mutation,Earthquake,0
Avalanche,Hydraulic Jack,0
H-bomb,Drought,0
Signal Jammer,Drought,0
Drought,Reinforced Steel Door,0
Bear Trap,Sonic Boom,0
Reality Resynchronizer,Sunshine,0
Antimatter Cannon,Steam,0
Fire,Persistence,0
Terraforming Device,Jackhammer,1
Resilience,Life Raft,1
Drought,Fire,0
AI Kill Switch,Hurricane,0
Sandpaper,War,0
Confidence,Singularity Stabilizer,1
AI Kill Switch,Propaganda,1
Steam,Oil,1
Solar Deflection Array,Earthquake,1
Molotov Cocktail,Avalanche,0
Freeze,Proof,0
Tsunami,Innovation,1
Therapy,Signal Jammer,0
Fire,Rainstorm,1
Oil,Tsunami,0
Propaganda,Time,0
Mutation,Gust,0
Seismic Dampener,Laser,1
Glacier,Sandpaper,1
AI Kill Switch,Reforestation,0
Glacier,Nanobot Swarm,1
Anti-Virus Nanocloud,Resilience,1
Sonic Boom,Vacation,0
Nanobot Swarm,Flood,1
Sandpaper,Terraforming Device,0
Gust,Innovation,0
Satellite,Planetary Evacuation Fleet,1
Viral Meme,Cataclysm Containment Field,1
Reality Resynchronizer,Neutralizing Agent,0
Anti-Virus Nanocloud,Orbital Laser,0
Cataclysm Containment Field,Confidence,0
Earthquake,Kevlar Vest,1
Cataclysm Containment Field,Reforestation,0
Therapy,Neutralizing Agent,0
Planetary Defense Shield,Sunshine,1
Boulder,Confidence,1
Evacuation,Planetary Defense Shield,0
Oil,Water,0
Dragon,Proof,0
Time,Water,0
Dynamite,Encryption,1
Evacuation,Solar Deflection Array,1
Reality Resynchronizer,Encryption,0
Boulder,Laser,0
Jackhammer,Antimatter Cannon,1
Drill,Signal Jammer,1
Tsunami,Sunshine,1
Cataclysm Containment Field,Viral Meme,0
Lava,Hurricane,1
Proof,Dragon,0
Hurricane,Singularity Stabilizer,0
AI Kill Switch,Anti-Virus Nanocloud,1
Persistence,Planetary Evacuation Fleet,1
Freeze,Freeze,0
Dam,Antimatter Cannon,1
Innovation,Encryption,0
Planetary Defense Shield,AI Kill Switch,1
Viral Meme,Avalanche,0
Drought,Life Raft,0
Terraforming Device,Bear Trap,0
Grizzly,War,0
